	source	target	weight	source_freq	target_freq	source_type	target_type	edge_sample	fscolor	sscolor	edcolor	num_samps
97	Catabacter	Erysipelatoclostridium	0.977610339885	3	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
98	Erysipelatoclostridium	Eggerthella	0.953050707075	4	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
99	Eggerthella	Erysipelatoclostridium	0.953050707075	2	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
100	Escherichia	Enterorhabdus	0.999265596351	5	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
101	Enterorhabdus	Escherichia	0.999265596351	1	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
102	Exiguobacterium	Arcanobacterium	0.9500639412	2	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
103	Arcanobacterium	Exiguobacterium	0.9500639412	11	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
104	Exiguobacterium	Aureimonas	0.980451337463	2	10	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
105	Aureimonas	Exiguobacterium	0.980451337463	10	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
106	Exiguobacterium	Crocosphaera	0.980451337463	2	23	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
107	Crocosphaera	Exiguobacterium	0.980451337463	23	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
108	Facklamia	Brevibacterium	0.948129316401	1	3	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
109	Brevibacterium	Facklamia	0.948129316401	3	1	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
110	Facklamia	Burkholderia	0.948129316401	1	10	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
111	Burkholderia	Facklamia	0.948129316401	10	1	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
112	Faecalicoccus	Catabacter	1.0	4	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
113	Catabacter	Faecalicoccus	1.0	3	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
114	Faecalicoccus	Eggerthella	0.94284730416	4	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
115	Eggerthella	Faecalicoccus	0.94284730416	2	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
116	Faecalicoccus	Erysipelatoclostridium	0.977610339885	4	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
117	Erysipelatoclostridium	Faecalicoccus	0.977610339885	4	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
118	Faecalitalea	Anaerotruncus	0.832416532132	41	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
119	Anaerotruncus	Faecalitalea	0.832416532132	1	41	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
120	Faecalitalea	Butyricicoccus	0.884178857411	41	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
121	Butyricicoccus	Faecalitalea	0.884178857411	19	41	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
122	Fenollaria	Bosea	1.0	5	14	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
123	Bosea	Fenollaria	1.0	14	5	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
124	Fenollaria	Enhydrobacter	0.992246133193	5	18	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
125	Enhydrobacter	Fenollaria	0.992246133193	18	5	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
126	Flavobacterium	Afipia	0.947204968944	2	36	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
127	Afipia	Flavobacterium	0.947204968944	36	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
128	Flavobacterium	Bradyrhizobium	1.0	2	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
129	Bradyrhizobium	Flavobacterium	1.0	2	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
130	Flavobacterium	Citrobacter	1.0	2	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
131	Citrobacter	Flavobacterium	1.0	1	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
132	Flavobacterium	Conchiformibius	0.892841614772	2	20	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
133	Conchiformibius	Flavobacterium	0.892841614772	20	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
134	Gallibacterium	Actinobacillus	0.92479441659	3	22	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	57
135	Actinobacillus	Gallibacterium	0.92479441659	22	3	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	57
136	Gallibacterium	Avibacterium	0.888341608473	3	13	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	57
137	Avibacterium	Gallibacterium	0.888341608473	13	3	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	57
138	Gallibacterium	Basfia	0.910134185936	3	3	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	57
139	Basfia	Gallibacterium	0.910134185936	3	3	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	57
140	Gallibacterium	Bibersteinia	0.922289352769	3	1	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	57
141	Bibersteinia	Gallibacterium	0.922289352769	1	3	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	57
142	Gallibacterium	Dehalobacter	0.910134185936	3	14	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	57
143	Dehalobacter	Gallibacterium	0.910134185936	14	3	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	57
144	Gallibacterium	Echinicola	0.910134185936	3	3	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	57
145	Echinicola	Gallibacterium	0.910134185936	3	3	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	57
146	Gordonibacter	Adlercreutzia	0.846373414911	1	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
147	Adlercreutzia	Gordonibacter	0.846373414911	9	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
148	Gordonibacter	Anaerofustis	0.876028033346	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
149	Anaerofustis	Gordonibacter	0.876028033346	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
150	Gordonibacter	Desulfotomaculum	0.876028033346	1	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
151	Desulfotomaculum	Gordonibacter	0.876028033346	12	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
152	Gordonibacter	Desulfovibrio	0.871558497875	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
153	Desulfovibrio	Gordonibacter	0.871558497875	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
154	Gulbenkiania	Arcanobacterium	0.969895294641	3	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
155	Arcanobacterium	Gulbenkiania	0.969895294641	11	3	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
156	Gulbenkiania	Aureimonas	1.0	3	10	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
157	Aureimonas	Gulbenkiania	1.0	10	3	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
158	Gulbenkiania	Crocosphaera	1.0	3	23	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
159	Crocosphaera	Gulbenkiania	1.0	23	3	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
160	Gulbenkiania	Exiguobacterium	0.980451337463	3	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
161	Exiguobacterium	Gulbenkiania	0.980451337463	2	3	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
162	Hallella	Cellulomonas	0.95158108575	1	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
163	Cellulomonas	Hallella	0.95158108575	10	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
164	Hallella	Enterorhabdus	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
165	Enterorhabdus	Hallella	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
166	Hallella	Escherichia	0.999265596351	1	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
167	Escherichia	Hallella	0.999265596351	5	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
168	Helicobacter	Arcanobacterium	0.969895294641	10	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
169	Arcanobacterium	Helicobacter	0.969895294641	11	10	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
170	Helicobacter	Aureimonas	1.0	10	10	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
171	Aureimonas	Helicobacter	1.0	10	10	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
172	Helicobacter	Crocosphaera	1.0	10	23	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
173	Crocosphaera	Helicobacter	1.0	23	10	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
174	Helicobacter	Exiguobacterium	0.980451337463	10	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
175	Exiguobacterium	Helicobacter	0.980451337463	2	10	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
176	Helicobacter	Gulbenkiania	1.0	10	3	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
177	Gulbenkiania	Helicobacter	1.0	3	10	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
178	Herbaspirillum	Bosea	0.90886792197	8	14	Mid_vagina	Posterior_fornix	Intertype	#18cde4	#4df3ce	#cccccc	57
179	Bosea	Herbaspirillum	0.90886792197	14	8	Posterior_fornix	Mid_vagina	Intertype	#4df3ce	#18cde4	#cccccc	57
180	Herbaspirillum	Enhydrobacter	0.900816338205	8	18	Mid_vagina	Posterior_fornix	Intertype	#18cde4	#4df3ce	#cccccc	57
181	Enhydrobacter	Herbaspirillum	0.900816338205	18	8	Posterior_fornix	Mid_vagina	Intertype	#4df3ce	#18cde4	#cccccc	57
182	Herbaspirillum	Fenollaria	0.90886792197	8	5	Mid_vagina	Posterior_fornix	Intertype	#18cde4	#4df3ce	#cccccc	57
183	Fenollaria	Herbaspirillum	0.90886792197	5	8	Posterior_fornix	Mid_vagina	Intertype	#4df3ce	#18cde4	#cccccc	57
184	Holdemania	Acetivibrio	0.863176790697	40	27	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
185	Acetivibrio	Holdemania	0.863176790697	27	40	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
186	Holdemania	Anaerotruncus	0.823205274069	40	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
187	Anaerotruncus	Holdemania	0.823205274069	1	40	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
188	Holdemania	Faecalitalea	0.861494314315	40	41	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
189	Faecalitalea	Holdemania	0.861494314315	41	40	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
190	Hungatella	Anaerofustis	0.977296588686	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
191	Anaerofustis	Hungatella	0.977296588686	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
192	Hungatella	Desulfotomaculum	0.977296588686	2	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
193	Desulfotomaculum	Hungatella	0.977296588686	12	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
194	Hungatella	Desulfovibrio	0.977500324704	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
195	Desulfovibrio	Hungatella	0.977500324704	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
196	Hungatella	Gordonibacter	0.937470921656	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
197	Gordonibacter	Hungatella	0.937470921656	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
198	Janibacter	Afipia	0.947204968944	1	36	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
199	Afipia	Janibacter	0.947204968944	36	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
200	Janibacter	Bradyrhizobium	1.0	1	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
201	Bradyrhizobium	Janibacter	1.0	2	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
202	Janibacter	Citrobacter	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
203	Citrobacter	Janibacter	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
204	Janibacter	Conchiformibius	0.892841614772	1	20	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
