	source	source_freq	source_type	target_type	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
56	Acinetobacter sp. MDS7A	3	Anterior_nares	Anterior_nares	#8000ff	11.0	6.0	#0dc2e8	#3c68f9
66	Acinetobacter towneri	6	Anterior_nares	Anterior_nares	#8000ff	11.0	6.0	#0dc2e8	#3c68f9
78	Actinobacillus minor	1	Buccal_mucosa	Buccal_mucosa	#1996f3	3.0	0.0	#5a3bfd	#8000ff
86	Actinobacillus pleuropneumoniae	1	Buccal_mucosa	Buccal_mucosa	#1996f3	3.0	0.0	#5a3bfd	#8000ff
94	Actinobacillus ureae	5	Buccal_mucosa	Buccal_mucosa	#1996f3	3.0	0.0	#5a3bfd	#8000ff
104	Actinomyces georgiae	5	Subgingival_plaque	Subgingival_plaque	#e4cf74	35.0	8.0	#ff6232	#2489f5
105	[Eubacterium] infirmum	16	Subgingival_plaque	Subgingival_plaque	#e4cf74	35.0	8.0	#ff6232	#2489f5
106	Actinomyces sp. ICM54	1	Tongue_dorsum	Tongue_dorsum	#ff0000	21.0	18.0	#8bfeae	#50f4cc
107	Actinomyces sp. HPA0247	1	Tongue_dorsum	Tongue_dorsum	#ff0000	21.0	18.0	#8bfeae	#50f4cc
108	Actinomyces sp. ICM58	9	Tongue_dorsum	Tongue_dorsum	#ff0000	21.0	18.0	#8bfeae	#50f4cc
110	Actinomyces sp. oral taxon 172	17	Tongue_dorsum	Tongue_dorsum	#ff0000	21.0	18.0	#8bfeae	#50f4cc
114	Actinomyces sp. oral taxon 877	23	Supragingival_plaque	Supragingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
115	Actinomyces slackii	25	Supragingival_plaque	Supragingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
116	Actinomyces sp. ph3	6	Saliva	Saliva	#7effb5	21.0	18.0	#8bfeae	#50f4cc
117	Actinomyces sp. oral taxon 181	10	Saliva	Saliva	#7effb5	21.0	18.0	#8bfeae	#50f4cc
118	Adlercreutzia equolifaciens	12	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
122	Alistipes indistinctus	6	Stool	Stool	#b2f396	32.0	11.0	#ff964f	#01b3ec
128	Alistipes obesi	2	Stool	Stool	#b2f396	32.0	11.0	#ff964f	#01b3ec
134	Alistipes onderdonkii	2	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
138	Alistipes sp. AL-1	21	Stool	Stool	#b2f396	40.0	2.0	#ff0000	#6a22fe
139	[Clostridium] asparagiforme	10	Stool	Stool	#b2f396	40.0	2.0	#ff0000	#6a22fe
140	Alistipes timonensis	21	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
141	[Clostridium] scindens	2	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
144	Aliterella atlantica	11	Anterior_nares	Anterior_nares	#8000ff	11.0	6.0	#0dc2e8	#3c68f9
158	alpha proteobacterium LLX12A	12	Anterior_nares	Anterior_nares	#8000ff	11.0	6.0	#0dc2e8	#3c68f9
174	Alysiella crassa	13	Attached	Attached	#4e4dfc	3.0	15.0	#5a3bfd	#2ddedc
175	Actinobacillus succinogenes	2	Attached	Attached	#4e4dfc	3.0	15.0	#5a3bfd	#2ddedc
176	Anaerococcus lactolyticus	23	Posterior_fornix	Throat	#4df3ce	0.0	24.0	#8000ff	#96fca7
177	Afipia broomeae	5	Throat	Posterior_fornix	#ff5029	0.0	24.0	#8000ff	#96fca7
178	Anaerococcus prevotii	12	Posterior_fornix	Throat	#4df3ce	0.0	24.0	#8000ff	#96fca7
182	Anaerococcus provenciensis	15	Anterior_nares	Anterior_nares	#8000ff	26.0	12.0	#cbe486	#0ac0e8
183	Acidovorax caeni	2	Anterior_nares	Anterior_nares	#8000ff	26.0	12.0	#cbe486	#0ac0e8
184	Anaerococcus sp. PH9	11	Posterior_fornix	Throat	#4df3ce	0.0	24.0	#8000ff	#96fca7
190	Anaerococcus tetradius	11	Posterior_fornix	Posterior_fornix	#4df3ce	31.0	17.0	#ffa759	#44eed2
191	Actinomyces neuii	26	Posterior_fornix	Posterior_fornix	#4df3ce	31.0	17.0	#ffa759	#44eed2
192	Anaerococcus vaginalis	10	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
198	Anaerofustis stercorihominis	1	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
208	Anaerostipes caccae	21	Stool	Stool	#b2f396	22.0	4.0	#99fca6	#5247fc
209	[Clostridium] clostridioforme	16	Stool	Stool	#b2f396	22.0	4.0	#99fca6	#5247fc
210	Anaerostipes hadrus	1	Stool	Stool	#b2f396	18.0	7.0	#64fbc3	#3079f7
211	[Clostridium] sordellii	2	Stool	Stool	#b2f396	18.0	7.0	#64fbc3	#3079f7
212	Anaerostipes sp. 3_2_56FAA	2	Stool	Stool	#b2f396	22.0	4.0	#99fca6	#5247fc
216	Anaerotruncus colihominis	1	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
218	Arcanobacterium haemolyticum	2	Supragingival_plaque	Subgingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
219	Actinomyces israelii	9	Subgingival_plaque	Supragingival_plaque	#e4cf74	33.0	10.0	#ff8646	#0ea5ef
221	Actinomyces sp. oral taxon 448	26	Supragingival_plaque	Supragingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
223	Anaeroglobus geminatus	20	Saliva	Supragingival_plaque	#7effb5	33.0	10.0	#ff8646	#0ea5ef
224	Arcanobacterium sp. S3PF19	5	Anterior_nares	Throat	#8000ff	36.0	23.0	#ff5029	#8bfeae
225	Afipia birgiae	14	Throat	Anterior_nares	#ff5029	36.0	23.0	#ff5029	#8bfeae
226	Atopobium parvulum	2	Saliva	Saliva	#7effb5	21.0	18.0	#8bfeae	#50f4cc
228	Atopobium sp. BS2	1	Saliva	Saliva	#7effb5	21.0	18.0	#8bfeae	#50f4cc
230	Atopobium sp. ICM42b	1	Saliva	Saliva	#7effb5	21.0	18.0	#8bfeae	#50f4cc
232	Atopobium sp. oral taxon 199	9	Saliva	Saliva	#7effb5	21.0	18.0	#8bfeae	#50f4cc
233	Alloprevotella rava	8	Saliva	Saliva	#7effb5	5.0	18.0	#425ffa	#50f4cc
240	Atopobium sp. oral taxon 810	2	Buccal_mucosa	Buccal_mucosa	#1996f3	16.0	13.0	#4df3ce	#17cbe4
246	Atopobium vaginae	7	Posterior_fornix	Posterior_fornix	#4df3ce	31.0	17.0	#ffa759	#44eed2
250	Aureimonas altamirensis	2	Anterior_nares	Throat	#8000ff	36.0	23.0	#ff5029	#8bfeae
254	Avibacterium paragallinarum	11	Buccal_mucosa	Buccal_mucosa	#1996f3	3.0	0.0	#5a3bfd	#8000ff
264	Azohydromonas australica	1	Anterior_nares	Anterior_nares	#8000ff	11.0	6.0	#0dc2e8	#3c68f9
282	Bacillus cereus	1	Anterior_nares	Throat	#8000ff	36.0	23.0	#ff5029	#8bfeae
288	Bacillus thermoamylovorans	1	Anterior_nares	Anterior_nares	#8000ff	11.0	6.0	#0dc2e8	#3c68f9
308	bacterium LF-3	18	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
311	[Clostridium] saccharogumia	5	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
314	Bacteroidaceae bacterium MS4	14	Stool	Stool	#b2f396	22.0	4.0	#99fca6	#5247fc
320	Bacteroides coprophilus	1	Stool	Stool	#b2f396	22.0	4.0	#99fca6	#5247fc
326	Bacteroides coprosuis	3	Stool	Stool	#b2f396	32.0	11.0	#ff964f	#01b3ec
336	Bacteroides dorei	1	Stool	Stool	#b2f396	22.0	4.0	#99fca6	#5247fc
338	Bacteroides gallinarum	15	Subgingival_plaque	Stool	#e4cf74	10.0	1.0	#01b3ec	#7610ff
340	Bacteroides graminisolvens	8	Stool	Stool	#b2f396	22.0	4.0	#99fca6	#5247fc
350	Bacteroides helcogenes	19	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
351	Bacteroides clarus	1	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
352	Bacteroides nordii	18	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
354	Bacteroides reticulotermitis	18	Stool	Stool	#b2f396	22.0	4.0	#99fca6	#5247fc
366	Bacteroides salyersiae	12	Stool	Stool	#b2f396	40.0	2.0	#ff0000	#6a22fe
367	Bacteroides faecichinchillae	1	Stool	Stool	#b2f396	40.0	2.0	#ff0000	#6a22fe
368	Bacteroides sp. 1_1_30	15	Stool	Buccal_mucosa	#b2f396	5.0	28.0	#425ffa	#c4e88a
369	Bacteroides paurosaccharolyticus	20	Buccal_mucosa	Stool	#1996f3	5.0	28.0	#425ffa	#c4e88a
370	Bacteroides sp. 2_1_56FAA	18	Stool	Buccal_mucosa	#b2f396	5.0	28.0	#425ffa	#c4e88a
374	Bacteroides sp. 3_1_33FAA	8	Stool	Buccal_mucosa	#b2f396	5.0	28.0	#425ffa	#c4e88a
378	Bacteroides sp. 4_1_36	8	Stool	Stool	#b2f396	18.0	7.0	#64fbc3	#3079f7
380	Bacteroides sp. D20	13	Stool	Buccal_mucosa	#b2f396	5.0	28.0	#425ffa	#c4e88a
384	Bacteroides sp. HPS0048	15	Stool	Stool	#b2f396	32.0	11.0	#ff964f	#01b3ec
394	Bacteroides stercoris	10	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
396	Barnesiella viscericola	12	Stool	Stool	#b2f396	14.0	27.0	#32e3da	#b9ef92
397	Alistipes sp. HGB5	21	Stool	Stool	#b2f396	14.0	27.0	#32e3da	#b9ef92
399	Bacteroides stercorirosoris	10	Stool	Stool	#b2f396	14.0	27.0	#32e3da	#b9ef92
400	Bibersteinia trehalosi	13	Buccal_mucosa	Buccal_mucosa	#1996f3	3.0	0.0	#5a3bfd	#8000ff
412	Bifidobacterium adolescentis	14	Stool	Stool	#b2f396	18.0	7.0	#64fbc3	#3079f7
414	Bifidobacterium breve	13	Stool	Stool	#b2f396	37.0	3.0	#ff3e1f	#5e35fe
415	Bacteroides sartorii	21	Stool	Stool	#b2f396	37.0	3.0	#ff3e1f	#5e35fe
417	Bacteroides sp. 2_2_4	9	Stool	Stool	#b2f396	37.0	3.0	#ff3e1f	#5e35fe
418	Bifidobacterium kashiwanohense	10	Stool	Stool	#b2f396	37.0	3.0	#ff3e1f	#5e35fe
424	Bifidobacterium longum	11	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
426	Bifidobacterium pseudocatenulatum	6	Stool	Stool	#b2f396	37.0	3.0	#ff3e1f	#5e35fe
432	Bifidobacterium ruminantium	13	Stool	Stool	#b2f396	37.0	3.0	#ff3e1f	#5e35fe
442	Bifidobacterium saeculare	14	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
450	Bilophila wadsworthia	20	Stool	Stool	#b2f396	32.0	11.0	#ff964f	#01b3ec
460	Blautia hansenii	11	Stool	Stool	#b2f396	37.0	3.0	#ff3e1f	#5e35fe
472	Blautia hydrogenotrophica	21	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
484	Blautia obeum	8	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
486	Blautia schinkii	7	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
488	Blautia sp. GD9	3	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
500	Blautia sp. KLE 1732	2	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
501	Bacteroides sp. 1_1_6	2	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
504	Brevibacterium massiliense	2	Posterior_fornix	Posterior_fornix	#4df3ce	2.0	21.0	#6826fe	#72febb
505	Aerococcus christensenii	11	Posterior_fornix	Posterior_fornix	#4df3ce	2.0	21.0	#6826fe	#72febb
506	Burkholderia cepacia	3	Posterior_fornix	Posterior_fornix	#4df3ce	2.0	21.0	#6826fe	#72febb
510	Butyricimonas synergistica	1	Stool	Stool	#b2f396	40.0	2.0	#ff0000	#6a22fe
516	Butyricimonas virosa	1	Stool	Stool	#b2f396	32.0	11.0	#ff964f	#01b3ec
524	Butyrivibrio sp. NC3005	10	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
532	Calothrix sp. PCC 7103	1	Anterior_nares	Anterior_nares	#8000ff	20.0	22.0	#7effb5	#7effb5
533	Aerococcus viridans	9	Anterior_nares	Anterior_nares	#8000ff	20.0	22.0	#7effb5	#7effb5
535	Atopobacter phocae	1	Anterior_nares	Anterior_nares	#8000ff	20.0	22.0	#7effb5	#7effb5
536	Campylobacter curvus	14	Supragingival_plaque	Supragingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
538	Campylobacter fetus	8	Attached	Attached	#4e4dfc	3.0	15.0	#5a3bfd	#2ddedc
542	Campylobacter gracilis	2	Subgingival_plaque	Supragingival_plaque	#e4cf74	33.0	10.0	#ff8646	#0ea5ef
544	Campylobacter mucosalis	9	Attached	Attached	#4e4dfc	3.0	15.0	#5a3bfd	#2ddedc
550	Campylobacter sp. FOBRC14	1	Attached	Attached	#4e4dfc	3.0	15.0	#5a3bfd	#2ddedc
558	Candidatus Alistipes marseilloanorexicus	1	Stool	Stool	#b2f396	14.0	27.0	#32e3da	#b9ef92
560	Candidatus Bacteroides timonensis	10	Stool	Stool	#b2f396	14.0	27.0	#32e3da	#b9ef92
562	Capnocytophaga granulosa	14	Supragingival_plaque	Subgingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
563	[Eubacterium] yurii	13	Subgingival_plaque	Supragingival_plaque	#e4cf74	33.0	10.0	#ff8646	#0ea5ef
568	Capnocytophaga sp. CM59	2	Supragingival_plaque	Subgingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
572	Capnocytophaga sp. oral taxon 323	27	Supragingival_plaque	Saliva	#ff964f	33.0	10.0	#ff8646	#0ea5ef
577	Capnocytophaga ochracea	2	Supragingival_plaque	Supragingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
578	Capnocytophaga sp. oral taxon 324	5	Supragingival_plaque	Saliva	#ff964f	33.0	10.0	#ff8646	#0ea5ef
584	Capnocytophaga sp. oral taxon 332	5	Supragingival_plaque	Supragingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
585	Bergeyella zoohelcum	9	Supragingival_plaque	Supragingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
587	Capnocytophaga cynodegmi	7	Supragingival_plaque	Supragingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
588	Capnocytophaga sp. oral taxon 335	2	Supragingival_plaque	Saliva	#ff964f	33.0	10.0	#ff8646	#0ea5ef
596	Capnocytophaga sp. oral taxon 336	19	Supragingival_plaque	Supragingival_plaque	#ff964f	33.0	10.0	#ff8646	#0ea5ef
600	Capnocytophaga sp. oral taxon 380	11	Supragingival_plaque	Saliva	#ff964f	33.0	10.0	#ff8646	#0ea5ef
614	Capnocytophaga sp. oral taxon 412	2	Subgingival_plaque	Subgingival_plaque	#e4cf74	33.0	10.0	#ff8646	#0ea5ef
615	Actinomyces johnsonii	16	Subgingival_plaque	Subgingival_plaque	#e4cf74	33.0	10.0	#ff8646	#0ea5ef
624	Cardiobacterium hominis	12	Subgingival_plaque	Supragingival_plaque	#e4cf74	33.0	10.0	#ff8646	#0ea5ef
630	Catabacter hongkongensis	3	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
642	Cellulomonas flavigena	12	Throat	Tongue_dorsum	#ff5029	21.0	18.0	#8bfeae	#50f4cc
643	Bifidobacterium subtile	18	Tongue_dorsum	Throat	#ff0000	21.0	18.0	#8bfeae	#50f4cc
644	Chryseobacterium haifense	9	Posterior_fornix	Posterior_fornix	#4df3ce	2.0	21.0	#6826fe	#72febb
650	Clostridia bacterium UC5.1-1D1	25	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
656	Clostridia bacterium UC5.1-1D10	26	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
661	Butyricicoccus pullicaecorum	1	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
662	Clostridiaceae bacterium MS3	11	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
672	Clostridiales bacterium 1_7_47FAA	23	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
688	Clostridiales bacterium NK3B98	11	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
706	Clostridiales bacterium S5-A14a	10	Posterior_fornix	Throat	#4df3ce	0.0	24.0	#8000ff	#96fca7
714	Clostridiales bacterium VE202-01	21	Stool	Stool	#b2f396	14.0	27.0	#32e3da	#b9ef92
716	Clostridiales bacterium VE202-14	15	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
724	Clostridiales bacterium VE202-15	3	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
744	Clostridiales bacterium VE202-16	20	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
746	Clostridiales bacterium VE202-21	1	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
756	Clostridiales bacterium VE202-28	23	Stool	Stool	#b2f396	15.0	35.0	#3febd5	#ff9b52
757	Clostridia bacterium UC5.1-2H11	7	Stool	Stool	#b2f396	15.0	35.0	#3febd5	#ff9b52
758	Clostridium botulinum	2	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
780	Clostridium colicanis	1	Posterior_fornix	Throat	#4df3ce	0.0	24.0	#8000ff	#96fca7
790	Clostridium dakarense	16	Stool	Stool	#b2f396	18.0	7.0	#64fbc3	#3079f7
794	Clostridium perfringens	8	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
812	Clostridium sartagoforme	1	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
838	Clostridium sp. 7_2_43FAA	10	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
866	Clostridium sp. 7_3_54FAA	7	Stool	Stool	#b2f396	23.0	4.0	#a4f89f	#5247fc
867	Blautia wexlerae	14	Stool	Stool	#b2f396	22.0	4.0	#99fca6	#5247fc
869	Clostridia bacterium UC5.1-2F7	24	Stool	Stool	#b2f396	23.0	1.0	#a4f89f	#7610ff
870	Clostridium sp. ASF502	9	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
880	Clostridium sp. ATCC BAA-442	2	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
886	Clostridium sp. C8	3	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
916	Clostridium sp. FS41	1	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
930	Clostridium sp. HGF2	1	Stool	Stool	#b2f396	32.0	11.0	#ff964f	#01b3ec
948	Clostridium sp. JCC	6	Stool	Stool	#b2f396	18.0	7.0	#64fbc3	#3079f7
954	Clostridium sp. KLE 1755	15	Stool	Stool	#b2f396	25.0	26.0	#beec8e	#acf59a
955	Cellulomonas carbonis	14	Stool	Stool	#b2f396	25.0	26.0	#beec8e	#acf59a
956	Clostridium sp. KNHs214	4	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
972	Clostridium sp. L2-50	1	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
986	Clostridium sp. M62/1	1	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
996	Clostridium sp. ND2	5	Posterior_fornix	Throat	#4df3ce	0.0	24.0	#8000ff	#96fca7
1008	Collinsella aerofaciens	11	Stool	Stool	#b2f396	18.0	7.0	#64fbc3	#3079f7
1020	Collinsella intestinalis	10	Stool	Stool	#b2f396	38.0	27.0	#ff2914	#b9ef92
1021	Alistipes inops	3	Stool	Stool	#b2f396	38.0	27.0	#ff2914	#b9ef92
1023	Bacteroides plebeius	13	Stool	Stool	#b2f396	38.0	27.0	#ff2914	#b9ef92
1024	Collinsella sp. 4_8_47FAA	2	Stool	Stool	#b2f396	18.0	7.0	#64fbc3	#3079f7
1026	Collinsella stercoris	1	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
1046	Collinsella tanakaei	1	Stool	Stool	#b2f396	7.0	29.0	#2884f6	#d0e082
1047	Barnesiella intestinihominis	14	Stool	Stool	#b2f396	7.0	29.0	#2884f6	#d0e082
1049	Bilophila sp. 4_1_30	22	Stool	Stool	#b2f396	7.0	29.0	#2884f6	#d0e082
1050	Comamonas aquatica	1	Buccal_mucosa	Buccal_mucosa	#1996f3	16.0	13.0	#4df3ce	#17cbe4
1058	Comamonas testosteroni	2	Mid_vagina	Throat	#18cde4	17.0	24.0	#58f8c9	#96fca7
1070	Coprobacillus sp. 3_3_56FAA	1	Stool	Stool	#b2f396	18.0	7.0	#64fbc3	#3079f7
1080	Coprobacillus sp. 8_1_38FAA	1	Stool	Stool	#b2f396	15.0	35.0	#3febd5	#ff9b52
1084	Coprobacter fastidiosus	9	Stool	Stool	#b2f396	7.0	29.0	#2884f6	#d0e082
1088	Coprococcus eutactus	16	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
1097	Clostridiales bacterium VE202-27	7	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
1100	Coprococcus sp. HPP0048	1	Stool	Stool	#b2f396	37.0	3.0	#ff3e1f	#5e35fe
1101	Bacteroides oleiciplenus	14	Stool	Stool	#b2f396	37.0	3.0	#ff3e1f	#5e35fe
1114	Coprococcus sp. HPP0074	1	Stool	Stool	#b2f396	37.0	3.0	#ff3e1f	#5e35fe
1130	Coriobacteriaceae bacterium BV3Ac1	15	Posterior_fornix	Throat	#4df3ce	0.0	24.0	#8000ff	#96fca7
1146	Corynebacterium ammoniagenes	3	Anterior_nares	Throat	#8000ff	36.0	23.0	#ff5029	#8bfeae
1154	Corynebacterium argentoratense	2	Saliva	Supragingival_plaque	#7effb5	33.0	10.0	#ff8646	#0ea5ef
1158	Corynebacterium aurimucosum	1	Anterior_nares	Anterior_nares	#8000ff	19.0	14.0	#72febb	#22d6e0
1159	Acidovorax temperans	1	Anterior_nares	Anterior_nares	#8000ff	19.0	14.0	#72febb	#22d6e0
1160	Corynebacterium camporealensis	12	Anterior_nares	Throat	#8000ff	36.0	23.0	#ff5029	#8bfeae
1170	Corynebacterium casei	14	Anterior_nares	Anterior_nares	#8000ff	5.0	32.0	#425ffa	#f2c26b
1171	Campylobacter ureolyticus	4	Anterior_nares	Anterior_nares	#8000ff	5.0	32.0	#425ffa	#f2c26b
1172	Corynebacterium diphtheriae	2	Anterior_nares	Anterior_nares	#8000ff	26.0	12.0	#cbe486	#0ac0e8
1176	Corynebacterium genitalium	10	Anterior_nares	Anterior_nares	#8000ff	15.0	30.0	#3febd5	#dbd87b
1177	Brevundimonas diminuta	1	Anterior_nares	Anterior_nares	#8000ff	15.0	30.0	#3febd5	#dbd87b
1178	Corynebacterium jeikeium	1	Anterior_nares	Anterior_nares	#8000ff	26.0	12.0	#cbe486	#0ac0e8
1184	Corynebacterium kroppenstedtii	9	Anterior_nares	Throat	#8000ff	36.0	23.0	#ff5029	#8bfeae
1196	Corynebacterium massiliense	1	Anterior_nares	Anterior_nares	#8000ff	15.0	30.0	#3febd5	#dbd87b
1200	Corynebacterium propinquum	2	Anterior_nares	Anterior_nares	#8000ff	26.0	12.0	#cbe486	#0ac0e8
1208	Corynebacterium pseudodiphtheriticum	1	Anterior_nares	Anterior_nares	#8000ff	26.0	12.0	#cbe486	#0ac0e8
1218	Corynebacterium pseudogenitalium	5	Anterior_nares	Anterior_nares	#8000ff	26.0	12.0	#cbe486	#0ac0e8
1230	Corynebacterium renale	2	Anterior_nares	Anterior_nares	#8000ff	20.0	22.0	#7effb5	#7effb5
1234	Corynebacterium riegelii	4	Posterior_fornix	Posterior_fornix	#4df3ce	2.0	21.0	#6826fe	#72febb
1242	Corynebacterium sp. GD7	13	Anterior_nares	Throat	#8000ff	36.0	23.0	#ff5029	#8bfeae
1256	Corynebacterium sp. KPL1824	3	Anterior_nares	Anterior_nares	#8000ff	19.0	14.0	#72febb	#22d6e0
1258	Corynebacterium tuberculostearicum	1	Anterior_nares	Anterior_nares	#8000ff	19.0	14.0	#72febb	#22d6e0
1263	Corynebacterium minutissimum	1	Anterior_nares	Anterior_nares	#8000ff	19.0	14.0	#72febb	#22d6e0
1264	Crocosphaera watsonii	1	Anterior_nares	Throat	#8000ff	36.0	23.0	#ff5029	#8bfeae
1280	Cupriavidus metallidurans	3	Stool	Stool	#b2f396	14.0	27.0	#32e3da	#b9ef92
