TAXA	Acholeplasmatales	Acidaminococcales	Actinomycetales	Alteromonadales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Campylobacterales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chlamydiales	Chromatiales	Chroococcales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Desulfovibrionales	Eggerthellales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Geodermatophilales	Hydrogenophilales	Lactobacillales	Micrococcales	Mycoplasmatales	Neisseriales	Nostocales	Oceanospirillales	Pasteurellales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Rhizobiales	Rhodobacterales	Rhodocyclales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Synergistales	Thiotrichales	Tissierellales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
Caulobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellvibrionales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chlamydiales	0.0	0.0	1.0	0.0	3.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chromatiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Chroococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridiales	0.0	0.0	4.0	0.0	5.0	5.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	3.0	2.0	8.0	1.0	6.0	1.0	3.0	0.0	0.0	7.0	5.0	5.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0
Coriobacteriales	0.0	0.0	1.0	0.0	3.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0	1.0	3.0	0.0	0.0	4.0	5.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacteriales	0.0	0.0	6.0	0.0	4.0	4.0	0.0	4.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	6.0	2.0	0.0	0.0	4.0	3.0	1.0	2.0	0.0	0.0	2.0	0.0	2.0	2.0	2.0	0.0	1.0	5.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0
Cytophagales	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	2.0	0.0	1.0	3.0	0.0	0.0	3.0	1.0	1.0	1.0	4.0	2.0	0.0	2.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0
Desulfovibrionales	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eggerthellales	0.0	1.0	3.0	0.0	3.0	7.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	1.0	3.0	2.0	0.0	0.0	3.0	1.0	4.0	0.0	0.0	3.0	4.0	3.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	2.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	7.0	5.0	0.0	0.0
Enterobacteriales	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
Erysipelotrichales	0.0	1.0	4.0	0.0	4.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	5.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	5.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
Flavobacteriales	0.0	0.0	6.0	1.0	2.0	4.0	0.0	2.0	7.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	6.0	3.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	2.0	1.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Fusobacteriales	0.0	0.0	8.0	1.0	5.0	7.0	0.0	3.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	2.0	1.0	0.0	4.0	0.0	2.0	4.0	0.0	0.0	0.0	6.0	4.0	4.0	6.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	5.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
Geodermatophilales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Hydrogenophilales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Lactobacillales	0.0	0.0	7.0	0.0	6.0	9.0	0.0	3.0	7.0	1.0	2.0	0.0	1.0	0.0	0.0	7.0	4.0	4.0	4.0	0.0	3.0	0.0	5.0	5.0	6.0	0.0	0.0	0.0	8.0	4.0	6.0	1.0	0.0	5.0	0.0	0.0	1.0	0.0	1.0	1.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Micrococcales	0.0	0.0	7.0	1.0	6.0	7.0	0.0	3.0	6.0	2.0	0.0	0.0	1.0	0.0	0.0	5.0	5.0	3.0	2.0	0.0	4.0	0.0	5.0	2.0	4.0	0.0	0.0	8.0	0.0	4.0	8.0	0.0	0.0	5.0	0.0	6.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Mycoplasmatales	0.0	0.0	3.0	0.0	4.0	4.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	1.0	0.0	0.0	3.0	0.0	4.0	1.0	4.0	0.0	0.0	4.0	4.0	0.0	1.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Neisseriales	0.0	0.0	4.0	1.0	3.0	6.0	0.0	4.0	4.0	4.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	3.0	0.0	0.0	5.0	6.0	0.0	0.0	6.0	8.0	1.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	2.0	4.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Nostocales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oceanospirillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Pasteurellales	0.0	0.0	2.0	2.0	4.0	6.0	0.0	2.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	2.0	0.0	0.0	0.0	3.0	2.0	3.0	0.0	0.0	5.0	5.0	4.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0
Pleurocapsales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Propionibacteriales	0.0	0.0	1.0	0.0	2.0	5.0	0.0	3.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	6.0	1.0	5.0	0.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0
Pseudomonadales	0.0	0.0	2.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhizobiales	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0
Rhodobacterales	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Rhodocyclales	0.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Selenomonadales	0.0	1.0	7.0	0.0	1.0	1.0	0.0	2.0	4.0	4.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	5.0	0.0	0.0	2.0	0.0	1.0	5.0	5.0	0.0	0.0	3.0	2.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Sphingobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphingomonadales	0.0	0.0	1.0	0.0	2.0	6.0	1.0	2.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	3.0	0.0	2.0	1.0	1.0	3.0	4.0	1.0	1.0	5.0	2.0	2.0	2.0	0.0	0.0	4.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0
Spirochaetales	0.0	0.0	0.0	1.0	0.0	3.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	3.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0
Streptomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Synergistales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thiotrichales	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tissierellales	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Veillonellales	0.0	1.0	4.0	0.0	4.0	7.0	0.0	3.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	7.0	0.0	1.0	3.0	8.0	0.0	0.0	6.0	5.0	0.0	7.0	0.0	2.0	1.0	0.0	2.0	0.0	2.0	1.0	1.0	3.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Verrucomicrobiales	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Vibrionales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Xanthomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
