	source	Unnamed: 0	source.1	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color	tst_samp_bins_ivp	tst_samp_bins_bdvp	tst_samp_bins_forced	tst_samp_bins_ivp_col	tst_samp_bins_bdvp_col	tst_samp_bins_forced_col
10	Anaeroglobus	10	Anaeroglobus	Actinobaculum	3.0	1	10	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	61	7.0	0.0	#7effb5	#8000ff	94.0	9.0	22.0	#dbdcde	#3b4cc0	#3b4cc0
11	Actinobaculum	11	Actinobaculum	Anaeroglobus	3.0	25	9	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	61	2.0	0.0	#386df9	#8000ff	71.0	9.0	22.0	#f3c7b1	#3b4cc0	#3b4cc0
12	Anaeroglobus	12	Anaeroglobus	Aggregatibacter	5.0	1	4	Saliva	Mixed	Intertype	#7effb5	#cccccc	#cccccc	61	7.0	0.0	#7effb5	#8000ff	94.0	9.0	22.0	#dbdcde	#3b4cc0	#3b4cc0
13	Aggregatibacter	13	Aggregatibacter	Anaeroglobus	5.0	31	9	Mixed	Saliva	Intertype	#cccccc	#7effb5	#cccccc	61	7.0	0.0	#7effb5	#8000ff	24.0	9.0	22.0	#e0654f	#3b4cc0	#3b4cc0
14	Anaeroglobus	14	Anaeroglobus	Alloprevotella	3.0	1	1	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	61	7.0	0.0	#7effb5	#8000ff	94.0	9.0	22.0	#dbdcde	#3b4cc0	#3b4cc0
15	Alloprevotella	15	Alloprevotella	Anaeroglobus	3.0	32	9	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	69.0	9.0	22.0	#f5c4ac	#3b4cc0	#3b4cc0
16	Anaerostipes	16	Anaerostipes	Adlercreutzia	4.0	9	39	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	47.0	9.0	22.0	#f59d7e	#3b4cc0	#3b4cc0
17	Adlercreutzia	17	Adlercreutzia	Anaerostipes	4.0	6	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	90.0	9.0	22.0	#e0dbd8	#3b4cc0	#3b4cc0
18	Avibacterium	18	Avibacterium	Actinobacillus	2.0	1	23	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	48.0	9.0	22.0	#f59f80	#3b4cc0	#3b4cc0
19	Actinobacillus	19	Actinobacillus	Avibacterium	2.0	10	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	0.0	#ff3b1e	#8000ff	25.0	9.0	22.0	#e26952	#3b4cc0	#3b4cc0
20	Avibacterium	20	Avibacterium	Alloprevotella	2.0	1	1	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	48.0	9.0	22.0	#f59f80	#3b4cc0	#3b4cc0
21	Alloprevotella	21	Alloprevotella	Avibacterium	2.0	32	3	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	69.0	9.0	22.0	#f5c4ac	#3b4cc0	#3b4cc0
22	Bacillus	22	Bacillus	Aliterella	1.0	1	29	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	4.0	4.0	#10c6e6	#4df3ce	48.0	8.0	6.0	#f59f80	#c73635	#f7af91
23	Aliterella	23	Aliterella	Bacillus	1.0	1	17	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	2.0	4.0	#386df9	#4df3ce	48.0	9.0	22.0	#f59f80	#3b4cc0	#3b4cc0
24	Bacillus	24	Bacillus	Arthrobacter	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	4.0	4.0	#10c6e6	#4df3ce	48.0	8.0	6.0	#f59f80	#c73635	#f7af91
25	Arthrobacter	25	Arthrobacter	Bacillus	1.0	1	17	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	2.0	4.0	#386df9	#4df3ce	101.0	9.0	22.0	#d1dae9	#3b4cc0	#3b4cc0
26	Bacillus	26	Bacillus	Azohydromonas	1.0	1	3	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	4.0	4.0	#10c6e6	#4df3ce	48.0	8.0	6.0	#f59f80	#c73635	#f7af91
27	Azohydromonas	27	Azohydromonas	Bacillus	1.0	1	17	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	2.0	4.0	#386df9	#4df3ce	160.0	9.0	22.0	#6788ee	#3b4cc0	#3b4cc0
28	Bacteroides	28	Bacteroides	Alistipes	7.0	17	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	5.0	6.0	#37e6d8	#b2f396	149.0	-1.0	-1.0	#7b9ff9	#b40426	#b40426
29	Alistipes	29	Alistipes	Bacteroides	7.0	29	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	5.0	6.0	#37e6d8	#b2f396	119.0	7.0	9.0	#b3cdfb	#c43032	#ecd3c5
30	Barnesiella	30	Barnesiella	Bacteroides	3.0	47	17	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	10.0	6.0	#ecc86f	#b2f396	65.0	9.0	22.0	#f6bea4	#3b4cc0	#3b4cc0
31	Bacteroides	31	Bacteroides	Barnesiella	3.0	47	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	5.0	6.0	#37e6d8	#b2f396	149.0	-1.0	-1.0	#7b9ff9	#b40426	#b40426
32	Basfia	32	Basfia	Actinobacillus	2.0	15	23	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	106.0	9.0	22.0	#c9d7f0	#3b4cc0	#3b4cc0
33	Actinobacillus	33	Actinobacillus	Basfia	2.0	10	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	0.0	#ff3b1e	#8000ff	25.0	9.0	22.0	#e26952	#3b4cc0	#3b4cc0
34	Basfia	34	Basfia	Avibacterium	2.0	15	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	106.0	9.0	22.0	#c9d7f0	#3b4cc0	#3b4cc0
35	Avibacterium	35	Avibacterium	Basfia	2.0	3	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	48.0	9.0	22.0	#f59f80	#3b4cc0	#3b4cc0
36	Bibersteinia	36	Bibersteinia	Avibacterium	1.0	3	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	7.0	7.0	#7effb5	#e4cf74	167.0	9.0	22.0	#5b7ae5	#3b4cc0	#3b4cc0
37	Avibacterium	37	Avibacterium	Bibersteinia	1.0	3	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	48.0	9.0	22.0	#f59f80	#3b4cc0	#3b4cc0
38	Bibersteinia	38	Bibersteinia	Basfia	1.0	3	15	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	7.0	7.0	#7effb5	#e4cf74	167.0	9.0	22.0	#5b7ae5	#3b4cc0	#3b4cc0
39	Basfia	39	Basfia	Bibersteinia	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	106.0	9.0	22.0	#c9d7f0	#3b4cc0	#3b4cc0
40	Bilophila	40	Bilophila	Acholeplasma	2.0	22	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	73.0	9.0	22.0	#f2cab5	#3b4cc0	#3b4cc0
41	Acholeplasma	41	Acholeplasma	Bilophila	2.0	3	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	14.0	2.0	#ff0000	#1996f3	21.0	9.0	22.0	#dc5d4a	#3b4cc0	#3b4cc0
42	Blautia	42	Blautia	Acetivibrio	10.0	10	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	164.0	9.0	22.0	#6180e9	#3b4cc0	#3b4cc0
43	Acetivibrio	43	Acetivibrio	Blautia	10.0	13	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	163.0	9.0	22.0	#6282ea	#3b4cc0	#3b4cc0
44	Blautia	44	Blautia	Akkermansia	7.0	10	31	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	164.0	9.0	22.0	#6180e9	#3b4cc0	#3b4cc0
45	Akkermansia	45	Akkermansia	Blautia	7.0	21	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	117.0	9.0	22.0	#b6cefa	#3b4cc0	#3b4cc0
46	Blautia	46	Blautia	Anaerostipes	6.0	10	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	164.0	9.0	22.0	#6180e9	#3b4cc0	#3b4cc0
47	Anaerostipes	47	Anaerostipes	Blautia	6.0	10	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	47.0	9.0	22.0	#f59d7e	#3b4cc0	#3b4cc0
48	Bradyrhizobium	48	Bradyrhizobium	Afipia	1.0	1	5	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	61	1.0	5.0	#5c38fd	#7effb5	1.0	9.0	22.0	#b8122a	#3b4cc0	#3b4cc0
49	Afipia	49	Afipia	Bradyrhizobium	1.0	4	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	61	1.0	5.0	#5c38fd	#7effb5	1.0	-1.0	-1.0	#b8122a	#b40426	#b40426
50	Butyricicoccus	50	Butyricicoccus	Alistipes	3.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	10.0	6.0	#ecc86f	#b2f396	36.0	9.0	22.0	#ee8468	#3b4cc0	#3b4cc0
51	Alistipes	51	Alistipes	Butyricicoccus	3.0	29	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	5.0	6.0	#37e6d8	#b2f396	119.0	7.0	9.0	#b3cdfb	#c43032	#ecd3c5
52	Butyricicoccus	52	Butyricicoccus	Bacteroides	3.0	1	17	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	10.0	6.0	#ecc86f	#b2f396	36.0	9.0	22.0	#ee8468	#3b4cc0	#3b4cc0
53	Bacteroides	53	Bacteroides	Butyricicoccus	3.0	47	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	5.0	6.0	#37e6d8	#b2f396	149.0	-1.0	-1.0	#7b9ff9	#b40426	#b40426
54	Butyricicoccus	54	Butyricicoccus	Barnesiella	2.0	1	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	10.0	6.0	#ecc86f	#b2f396	36.0	9.0	22.0	#ee8468	#3b4cc0	#3b4cc0
55	Barnesiella	55	Barnesiella	Butyricicoccus	2.0	15	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	10.0	6.0	#ecc86f	#b2f396	65.0	9.0	22.0	#f6bea4	#3b4cc0	#3b4cc0
56	Butyricimonas	56	Butyricimonas	Alistipes	2.0	10	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	75.0	9.0	22.0	#f1cdba	#3b4cc0	#3b4cc0
57	Alistipes	57	Alistipes	Butyricimonas	2.0	29	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	5.0	6.0	#37e6d8	#b2f396	119.0	7.0	9.0	#b3cdfb	#c43032	#ecd3c5
58	Butyricimonas	58	Butyricimonas	Blautia	3.0	10	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	75.0	9.0	22.0	#f1cdba	#3b4cc0	#3b4cc0
59	Blautia	59	Blautia	Butyricimonas	3.0	19	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	164.0	9.0	22.0	#6180e9	#3b4cc0	#3b4cc0
60	Butyrivibrio	60	Butyrivibrio	Acholeplasma	1.0	11	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	14.0	2.0	#ff0000	#1996f3	74.0	9.0	22.0	#f2cbb7	#3b4cc0	#3b4cc0
61	Acholeplasma	61	Acholeplasma	Butyrivibrio	1.0	3	14	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	14.0	2.0	#ff0000	#1996f3	21.0	9.0	22.0	#dc5d4a	#3b4cc0	#3b4cc0
62	Campylobacter	62	Campylobacter	Actinobacillus	4.0	2	23	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc	61	7.0	0.0	#7effb5	#8000ff	3.0	-1.0	-1.0	#bd1f2d	#b40426	#b40426
63	Actinobacillus	63	Actinobacillus	Campylobacter	4.0	10	37	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc	61	13.0	0.0	#ff3b1e	#8000ff	25.0	9.0	22.0	#e26952	#3b4cc0	#3b4cc0
64	Campylobacter	64	Campylobacter	Brochothrix	2.0	2	1	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	61	7.0	0.0	#7effb5	#8000ff	3.0	-1.0	-1.0	#bd1f2d	#b40426	#b40426
65	Brochothrix	65	Brochothrix	Campylobacter	2.0	4	37	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	61	7.0	9.0	#7effb5	#ff5029	100.0	9.0	22.0	#d3dbe7	#3b4cc0	#3b4cc0
66	Capnocytophaga	66	Capnocytophaga	Campylobacter	7.0	37	2	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	61	8.0	7.0	#a2f9a0	#e4cf74	12.0	9.0	22.0	#cd423b	#3b4cc0	#3b4cc0
67	Campylobacter	67	Campylobacter	Capnocytophaga	7.0	37	34	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	61	7.0	0.0	#7effb5	#8000ff	3.0	-1.0	-1.0	#bd1f2d	#b40426	#b40426
68	Catenibacterium	68	Catenibacterium	Acholeplasma	1.0	1	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	14.0	2.0	#ff0000	#1996f3	134.0	9.0	22.0	#97b8ff	#3b4cc0	#3b4cc0
69	Acholeplasma	69	Acholeplasma	Catenibacterium	1.0	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	14.0	2.0	#ff0000	#1996f3	21.0	9.0	22.0	#dc5d4a	#3b4cc0	#3b4cc0
70	Catonella	70	Catonella	Actinomyces	7.0	7	25	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	61	7.0	0.0	#7effb5	#8000ff	16.0	9.0	22.0	#d55042	#3b4cc0	#3b4cc0
71	Actinomyces	71	Actinomyces	Catonella	7.0	39	25	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	61	7.0	0.0	#7effb5	#8000ff	13.0	9.0	22.0	#cf453c	#3b4cc0	#3b4cc0
72	Catonella	72	Catonella	Anaeroglobus	4.0	7	1	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	61	7.0	0.0	#7effb5	#8000ff	16.0	9.0	22.0	#d55042	#3b4cc0	#3b4cc0
73	Anaeroglobus	73	Anaeroglobus	Catonella	4.0	9	25	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	61	7.0	0.0	#7effb5	#8000ff	94.0	9.0	22.0	#dbdcde	#3b4cc0	#3b4cc0
74	Catonella	74	Catonella	Campylobacter	7.0	7	2	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	61	7.0	0.0	#7effb5	#8000ff	16.0	9.0	22.0	#d55042	#3b4cc0	#3b4cc0
75	Campylobacter	75	Campylobacter	Catonella	7.0	37	25	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	61	7.0	0.0	#7effb5	#8000ff	3.0	-1.0	-1.0	#bd1f2d	#b40426	#b40426
76	Centipeda	76	Centipeda	Actinobaculum	4.0	25	10	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	61	7.0	0.0	#7effb5	#8000ff	21.0	9.0	22.0	#dc5d4a	#3b4cc0	#3b4cc0
77	Actinobaculum	77	Actinobaculum	Centipeda	4.0	25	16	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	61	2.0	0.0	#386df9	#8000ff	71.0	9.0	22.0	#f3c7b1	#3b4cc0	#3b4cc0
78	Centipeda	78	Centipeda	Anaeroglobus	4.0	25	1	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	61	7.0	0.0	#7effb5	#8000ff	21.0	9.0	22.0	#dc5d4a	#3b4cc0	#3b4cc0
79	Anaeroglobus	79	Anaeroglobus	Centipeda	4.0	9	16	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	61	7.0	0.0	#7effb5	#8000ff	94.0	9.0	22.0	#dbdcde	#3b4cc0	#3b4cc0
80	Centipeda	80	Centipeda	Campylobacter	5.0	25	2	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	61	7.0	0.0	#7effb5	#8000ff	21.0	9.0	22.0	#dc5d4a	#3b4cc0	#3b4cc0
81	Campylobacter	81	Campylobacter	Centipeda	5.0	37	16	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	61	7.0	0.0	#7effb5	#8000ff	3.0	-1.0	-1.0	#bd1f2d	#b40426	#b40426
82	Chlamydia	82	Chlamydia	Abiotrophia	3.0	6	29	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	61	2.0	0.0	#386df9	#8000ff	41.0	9.0	22.0	#f18f71	#3b4cc0	#3b4cc0
83	Abiotrophia	83	Abiotrophia	Chlamydia	3.0	29	8	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	61	7.0	0.0	#7effb5	#8000ff	153.0	9.0	22.0	#7597f6	#3b4cc0	#3b4cc0
84	Chryseobacterium	84	Chryseobacterium	Alloprevotella	4.0	16	1	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	61	13.0	7.0	#ff3b1e	#e4cf74	103.0	9.0	22.0	#cdd9ec	#3b4cc0	#3b4cc0
85	Alloprevotella	85	Alloprevotella	Chryseobacterium	4.0	32	13	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	61	13.0	7.0	#ff3b1e	#e4cf74	69.0	9.0	22.0	#f5c4ac	#3b4cc0	#3b4cc0
86	Chryseobacterium	86	Chryseobacterium	Alysiella	2.0	16	32	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	61	13.0	7.0	#ff3b1e	#e4cf74	103.0	9.0	22.0	#cdd9ec	#3b4cc0	#3b4cc0
87	Alysiella	87	Alysiella	Chryseobacterium	2.0	2	13	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	61	2.0	7.0	#386df9	#e4cf74	67.0	9.0	22.0	#f5c1a9	#3b4cc0	#3b4cc0
88	Chryseobacterium	88	Chryseobacterium	Avibacterium	2.0	16	1	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	103.0	9.0	22.0	#cdd9ec	#3b4cc0	#3b4cc0
89	Avibacterium	89	Avibacterium	Chryseobacterium	2.0	3	13	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	48.0	9.0	22.0	#f59f80	#3b4cc0	#3b4cc0
90	Chryseobacterium	90	Chryseobacterium	Basfia	2.0	16	15	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	103.0	9.0	22.0	#cdd9ec	#3b4cc0	#3b4cc0
91	Basfia	91	Basfia	Chryseobacterium	2.0	2	13	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	106.0	9.0	22.0	#c9d7f0	#3b4cc0	#3b4cc0
92	Chryseobacterium	92	Chryseobacterium	Bergeyella	3.0	16	2	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	103.0	9.0	22.0	#cdd9ec	#3b4cc0	#3b4cc0
93	Bergeyella	93	Bergeyella	Chryseobacterium	3.0	3	13	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	61	7.0	7.0	#7effb5	#e4cf74	53.0	9.0	22.0	#f7a98b	#3b4cc0	#3b4cc0
94	Citrobacter	94	Citrobacter	Afipia	1.0	8	5	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	61	1.0	5.0	#5c38fd	#7effb5	1.0	9.0	22.0	#b8122a	#3b4cc0	#3b4cc0
95	Afipia	95	Afipia	Citrobacter	1.0	4	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	61	1.0	5.0	#5c38fd	#7effb5	1.0	-1.0	-1.0	#b8122a	#b40426	#b40426
96	Clostridium	96	Clostridium	Catabacter	1.0	13	22	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	76.0	-1.0	-1.0	#f0cdbb	#b40426	#b40426
97	Catabacter	97	Catabacter	Clostridium	1.0	1	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	108.0	9.0	22.0	#c6d6f1	#3b4cc0	#3b4cc0
98	Collinsella	98	Collinsella	Anaerostipes	3.0	1	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	122.0	9.0	22.0	#aec9fc	#3b4cc0	#3b4cc0
99	Anaerostipes	99	Anaerostipes	Collinsella	3.0	10	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	47.0	9.0	22.0	#f59d7e	#3b4cc0	#3b4cc0
100	Comamonas	100	Comamonas	Alicycliphilus	1.0	29	21	Mid_vagina	Buccal_mucosa	Intertype	#18cde4	#1996f3	#cccccc	61	9.0	4.0	#c6e789	#4df3ce	153.0	2.0	1.0	#7597f6	#bb1b2c	#d44e41
101	Alicycliphilus	101	Alicycliphilus	Comamonas	1.0	1	3	Buccal_mucosa	Mid_vagina	Intertype	#1996f3	#18cde4	#cccccc	61	2.0	4.0	#386df9	#4df3ce	180.0	9.0	22.0	#455cce	#3b4cc0	#3b4cc0
102	Comamonas	102	Comamonas	Bosea	1.0	29	19	Mid_vagina	Posterior_fornix	Intertype	#18cde4	#4df3ce	#cccccc	61	9.0	4.0	#c6e789	#4df3ce	153.0	2.0	1.0	#7597f6	#bb1b2c	#d44e41
103	Bosea	103	Bosea	Comamonas	1.0	1	3	Posterior_fornix	Mid_vagina	Intertype	#4df3ce	#18cde4	#cccccc	61	2.0	4.0	#386df9	#4df3ce	107.0	1.0	2.0	#c7d7f0	#b8122a	#e0654f
104	Coprobacillus	104	Coprobacillus	Adlercreutzia	3.0	11	39	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	26.0	9.0	22.0	#e36b54	#3b4cc0	#3b4cc0
105	Adlercreutzia	105	Adlercreutzia	Coprobacillus	3.0	6	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	90.0	9.0	22.0	#e0dbd8	#3b4cc0	#3b4cc0
106	Coprobacillus	106	Coprobacillus	Anaerostipes	4.0	11	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	26.0	9.0	22.0	#e36b54	#3b4cc0	#3b4cc0
