	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	source	Unnamed: 0.1.1.1.1.1.1	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color	sp_samp_ivp	sp_samp_bdvp	sp_samp_forced	sp_samp_ivp_col	sp_samp_bdvp_col	sp_samp_forced_col	sp_samp_sample	sp_samp_sample_col	sp_sampivp_eq	sp_samp_ivp_transient	sp_samp_bdvp_eq	sp_samp_forced_eq	sp_sampivp_eq_col	sp_samp_ivp_transient_col	sp_samp_bdvp_eq_col	sp_samp_forced_eq_col
10	10	10	10	10	10	10	10	10	[Eubacterium] hallii	10	[Clostridium] citroniae	0.849784595844	12	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	329.0	14.0	63.0	#98b9ff	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	0.001524	0.0	-1443923658337.1135	#3b4cc0	#b1cbfc	#b40426	#b40426
11	11	11	11	11	11	11	11	11	[Clostridium] citroniae	11	[Eubacterium] hallii	0.849784595844	2	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	450.0	14.0	63.0	#4055c8	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.016935	0.0	-1443923658337.1135	#3b4cc0	#a9c6fd	#b40426	#b40426
12	12	12	12	12	12	12	12	12	[Eubacterium] hallii	12	[Clostridium] symbiosum	0.809760392646	12	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	329.0	14.0	63.0	#98b9ff	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	0.001524	0.0	-1443923658337.1135	#3b4cc0	#b1cbfc	#b40426	#b40426
13	13	13	13	13	13	13	13	13	[Clostridium] symbiosum	13	[Eubacterium] hallii	0.809760392646	10	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	438.0	14.0	63.0	#4961d2	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.009622	0.0	-1443923658337.1135	#3b4cc0	#abc8fd	#b40426	#b40426
14	14	14	14	14	14	14	14	14	[Eubacterium] hallii	14	[Eubacterium] cellulosolvens	0.8472656995100001	12	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	329.0	14.0	63.0	#98b9ff	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	0.001524	0.0	-1443923658337.1135	#3b4cc0	#b1cbfc	#b40426	#b40426
15	15	15	15	15	15	15	15	15	[Eubacterium] cellulosolvens	15	[Eubacterium] hallii	0.8472656995100001	1	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	387.0	14.0	63.0	#6c8ff1	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.008805	0.0	-1443923658337.1135	#3b4cc0	#adc9fd	#b40426	#b40426
16	16	16	16	16	16	16	16	16	[Haemophilus] ducreyi	16	[Actinobacillus] muris	1.0	16	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	27.0	9.0	20.0	#cb3e38	#bd1f2d	#f7b79b	0.0001	#4b64d5	0.042762	0.060204999999999995	0.9873669070722118	0.02542273458923613	#afcafc	#e0dbd8	#b8122a	#e36b54
17	17	17	17	17	17	17	17	17	[Actinobacillus] muris	17	[Haemophilus] ducreyi	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	12.0	9.0	24.0	#c0282f	#bd1f2d	#f2c9b4	0.0002	#5d7ce6	0.042762	0.128866	0.9873669070722118	0.02476116298865077	#afcafc	#e3d9d3	#b8122a	#e36b54
18	18	18	18	18	18	18	18	18	[Haemophilus] parasuis	18	[Actinobacillus] muris	0.893933889122	8	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	27.0	7.0	28.0	#cb3e38	#bb1b2c	#e8d6cc	0.0004	#82a6fb	0.042762	0.060204999999999995	0.9879876194367508	0.02452283445068569	#afcafc	#e0dbd8	#b8122a	#e36b54
19	19	19	19	19	19	19	19	19	[Actinobacillus] muris	19	[Haemophilus] parasuis	0.893933889122	2	7	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	12.0	9.0	24.0	#c0282f	#bd1f2d	#f2c9b4	0.0002	#5d7ce6	0.042762	0.128866	0.9873669070722118	0.02476116298865077	#afcafc	#e3d9d3	#b8122a	#e36b54
20	20	20	20	20	20	20	20	20	[Haemophilus] parasuis	20	[Haemophilus] ducreyi	0.893933889122	8	16	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	27.0	7.0	28.0	#cb3e38	#bb1b2c	#e8d6cc	0.0004	#82a6fb	0.042762	0.060204999999999995	0.9879876194367508	0.02452283445068569	#afcafc	#e0dbd8	#b8122a	#e36b54
21	21	21	21	21	21	21	21	21	[Haemophilus] ducreyi	21	[Haemophilus] parasuis	0.893933889122	2	7	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	27.0	9.0	20.0	#cb3e38	#bd1f2d	#f7b79b	0.0001	#4b64d5	0.042762	0.060204999999999995	0.9873669070722118	0.02542273458923613	#afcafc	#e0dbd8	#b8122a	#e36b54
22	22	22	22	22	22	22	22	22	[Mannheimia] succiniciproducens	22	[Actinobacillus] muris	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	7.0	9.0	26.0	#bb1b2c	#bd1f2d	#eed0c0	0.0001	#4b64d5	0.042762	0.21181399999999997	0.9873669070722118	0.0247346129002894	#afcafc	#f5c0a7	#b8122a	#e36b54
23	23	23	23	23	23	23	23	23	[Actinobacillus] muris	23	[Mannheimia] succiniciproducens	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	12.0	9.0	24.0	#c0282f	#bd1f2d	#f2c9b4	0.0002	#5d7ce6	0.042762	0.128866	0.9873669070722118	0.02476116298865077	#afcafc	#e3d9d3	#b8122a	#e36b54
24	24	24	24	24	24	24	24	24	[Mannheimia] succiniciproducens	24	[Haemophilus] ducreyi	1.0	2	16	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	7.0	9.0	26.0	#bb1b2c	#bd1f2d	#eed0c0	0.0001	#4b64d5	0.042762	0.21181399999999997	0.9873669070722118	0.0247346129002894	#afcafc	#f5c0a7	#b8122a	#e36b54
25	25	25	25	25	25	25	25	25	[Haemophilus] ducreyi	25	[Mannheimia] succiniciproducens	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	27.0	9.0	20.0	#cb3e38	#bd1f2d	#f7b79b	0.0001	#4b64d5	0.042762	0.060204999999999995	0.9873669070722118	0.02542273458923613	#afcafc	#e0dbd8	#b8122a	#e36b54
26	26	26	26	26	26	26	26	26	[Mannheimia] succiniciproducens	26	[Haemophilus] parasuis	0.893933889122	2	8	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	7.0	9.0	26.0	#bb1b2c	#bd1f2d	#eed0c0	0.0001	#4b64d5	0.042762	0.21181399999999997	0.9873669070722118	0.0247346129002894	#afcafc	#f5c0a7	#b8122a	#e36b54
27	27	27	27	27	27	27	27	27	[Haemophilus] parasuis	27	[Mannheimia] succiniciproducens	0.893933889122	7	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	0.0	#8000ff	#8000ff	27.0	7.0	28.0	#cb3e38	#bb1b2c	#e8d6cc	0.0004	#82a6fb	0.042762	0.060204999999999995	0.9879876194367508	0.02452283445068569	#afcafc	#e0dbd8	#b8122a	#e36b54
28	28	28	28	28	28	28	28	28	[Ruminococcus] gnavus	28	[Clostridium] citroniae	0.845587087133	7	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	287.0	14.0	63.0	#b7cff9	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	0.040208	0.0	-1443923658337.1135	#3b4cc0	#c3d5f4	#b40426	#b40426
29	29	29	29	29	29	29	29	29	[Clostridium] citroniae	29	[Ruminococcus] gnavus	0.845587087133	2	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	450.0	14.0	63.0	#4055c8	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.016935	0.0	-1443923658337.1135	#3b4cc0	#a9c6fd	#b40426	#b40426
30	30	30	30	30	30	30	30	30	[Ruminococcus] gnavus	30	[Eubacterium] cellulosolvens	0.849159309868	7	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	287.0	14.0	63.0	#b7cff9	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	0.040208	0.0	-1443923658337.1135	#3b4cc0	#c3d5f4	#b40426	#b40426
31	31	31	31	31	31	31	31	31	[Eubacterium] cellulosolvens	31	[Ruminococcus] gnavus	0.849159309868	1	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	387.0	14.0	63.0	#6c8ff1	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.008805	0.0	-1443923658337.1135	#3b4cc0	#adc9fd	#b40426	#b40426
32	32	32	32	32	32	32	32	32	Acetivibrio ethanolgignens	32	[Bacteroides] pectinophilus	0.8358695626070001	2	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	446.0	14.0	63.0	#4358cb	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.016919	0.0	-1443923658337.1135	#3b4cc0	#a9c6fd	#b40426	#b40426
33	33	33	33	33	33	33	33	33	[Bacteroides] pectinophilus	33	Acetivibrio ethanolgignens	0.8358695626070001	12	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	445.0	14.0	63.0	#445acc	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.016916	0.0	-1443923658337.1135	#3b4cc0	#a9c6fd	#b40426	#b40426
34	34	34	34	34	34	34	34	34	Acidaminococcus sp. BV3L6	34	Acidaminococcus intestini	1.0	12	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	11.0	#8000ff	#0ca7ef	457.0	14.0	63.0	#3c4ec2	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.017399	0.0	-1443923658337.1135	#3b4cc0	#a9c6fd	#b40426	#b40426
35	35	35	35	35	35	35	35	35	Acidaminococcus intestini	35	Acidaminococcus sp. BV3L6	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	11.0	#8000ff	#0ca7ef	448.0	14.0	63.0	#4257c9	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.016924	0.0	-1443923658337.1135	#3b4cc0	#a9c6fd	#b40426	#b40426
36	36	36	36	36	36	36	36	36	Acidaminococcus sp. HPA0509	36	Acidaminococcus intestini	1.0	13	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	11.0	#8000ff	#0ca7ef	382.0	14.0	63.0	#7093f3	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.008716	0.0	-1443923658337.1135	#3b4cc0	#adc9fd	#b40426	#b40426
37	37	37	37	37	37	37	37	37	Acidaminococcus intestini	37	Acidaminococcus sp. HPA0509	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	11.0	#8000ff	#0ca7ef	448.0	14.0	63.0	#4257c9	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.016924	0.0	-1443923658337.1135	#3b4cc0	#a9c6fd	#b40426	#b40426
38	38	38	38	38	38	38	38	38	Acidaminococcus sp. HPA0509	38	Acidaminococcus sp. BV3L6	1.0	13	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	11.0	#8000ff	#0ca7ef	382.0	14.0	63.0	#7093f3	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.008716	0.0	-1443923658337.1135	#3b4cc0	#adc9fd	#b40426	#b40426
39	39	39	39	39	39	39	39	39	Acidaminococcus sp. BV3L6	39	Acidaminococcus sp. HPA0509	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	11.0	#8000ff	#0ca7ef	457.0	14.0	63.0	#3c4ec2	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.017399	0.0	-1443923658337.1135	#3b4cc0	#a9c6fd	#b40426	#b40426
40	40	40	40	40	40	40	40	40	Acidovorax ebreus	40	Acidovorax delafieldii	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	13.0	#8000ff	#0ac0e8	135.0	14.0	63.0	#f7ac8e	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.0037479999999999996	-0.000244	0.0	-1443923658337.1135	#4358cb	#b2ccfb	#b40426	#b40426
41	41	41	41	41	41	41	41	41	Acidovorax delafieldii	41	Acidovorax ebreus	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	13.0	#8000ff	#0ac0e8	135.0	14.0	63.0	#f7ac8e	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.0037479999999999996	-0.000244	0.0	-1443923658337.1135	#4358cb	#b2ccfb	#b40426	#b40426
42	42	42	42	42	42	42	42	42	Acidovorax sp. JS42	42	Acidovorax delafieldii	1.0	3	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	13.0	#8000ff	#0ac0e8	135.0	14.0	63.0	#f7ac8e	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.0037479999999999996	-0.000244	0.0	-1443923658337.1135	#4358cb	#b2ccfb	#b40426	#b40426
43	43	43	43	43	43	43	43	43	Acidovorax delafieldii	43	Acidovorax sp. JS42	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	13.0	#8000ff	#0ac0e8	135.0	14.0	63.0	#f7ac8e	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.0037479999999999996	-0.000244	0.0	-1443923658337.1135	#4358cb	#b2ccfb	#b40426	#b40426
44	44	44	44	44	44	44	44	44	Acidovorax sp. JS42	44	Acidovorax ebreus	1.0	3	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	13.0	#8000ff	#0ac0e8	135.0	14.0	63.0	#f7ac8e	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.0037479999999999996	-0.000244	0.0	-1443923658337.1135	#4358cb	#b2ccfb	#b40426	#b40426
45	45	45	45	45	45	45	45	45	Acidovorax ebreus	45	Acidovorax sp. JS42	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	13.0	#8000ff	#0ac0e8	135.0	14.0	63.0	#f7ac8e	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.0037479999999999996	-0.000244	0.0	-1443923658337.1135	#4358cb	#b2ccfb	#b40426	#b40426
46	46	46	46	46	46	46	46	46	Acinetobacter junii	46	Acinetobacter baumannii	0.8800071013840001	8	1	Anterior_nares	Attached	Intertype	#8000ff	#4e4dfc	#cccccc	2.0	6.0	#7effb5	#425ffa	146.0	14.0	63.0	#f7b497	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	2.4e-05	0.0	-1443923658337.1135	#4055c8	#b1cbfc	#b40426	#b40426
47	47	47	47	47	47	47	47	47	Acinetobacter baumannii	47	Acinetobacter junii	0.8800071013840001	13	7	Attached	Anterior_nares	Intertype	#4e4dfc	#8000ff	#cccccc	2.0	6.0	#7effb5	#425ffa	147.0	13.0	57.0	#f7b497	#c0282f	#5673e0	0.0004	#82a6fb	0.002482	-1.6e-05	2.2204460492503127e-15	-296321721317.77826	#4055c8	#b1cbfc	#3b4cc0	#f7b497
48	48	48	48	48	48	48	48	48	Acinetobacter lwoffii	48	[Clostridium] leptum	0.990637654165	13	17	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	6.0	#7effb5	#425ffa	154.0	14.0	63.0	#f7b99e	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	-0.000156	0.0	-1443923658337.1135	#4055c8	#afcafc	#b40426	#b40426
49	49	49	49	49	49	49	49	49	[Clostridium] leptum	49	Acinetobacter lwoffii	0.990637654165	17	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	6.0	#7effb5	#425ffa	146.0	14.0	63.0	#f7b497	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	2.4e-05	0.0	-1443923658337.1135	#4055c8	#b1cbfc	#b40426	#b40426
50	50	50	50	50	50	50	50	50	Acinetobacter lwoffii	50	Acinetobacter baumannii	0.905701437191	13	1	Anterior_nares	Attached	Intertype	#8000ff	#4e4dfc	#cccccc	2.0	6.0	#7effb5	#425ffa	154.0	14.0	63.0	#f7b99e	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	-0.000156	0.0	-1443923658337.1135	#4055c8	#afcafc	#b40426	#b40426
51	51	51	51	51	51	51	51	51	Acinetobacter baumannii	51	Acinetobacter lwoffii	0.905701437191	13	1	Attached	Anterior_nares	Intertype	#4e4dfc	#8000ff	#cccccc	2.0	6.0	#7effb5	#425ffa	147.0	13.0	57.0	#f7b497	#c0282f	#5673e0	0.0004	#82a6fb	0.002482	-1.6e-05	2.2204460492503127e-15	-296321721317.77826	#4055c8	#b1cbfc	#3b4cc0	#f7b497
52	52	52	52	52	52	52	52	52	Acinetobacter lwoffii	52	Acinetobacter johnsonii	0.998455003335	13	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	6.0	#7effb5	#425ffa	154.0	14.0	63.0	#f7b99e	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	-0.000156	0.0	-1443923658337.1135	#4055c8	#afcafc	#b40426	#b40426
53	53	53	53	53	53	53	53	53	Acinetobacter johnsonii	53	Acinetobacter lwoffii	0.998455003335	3	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	6.0	#7effb5	#425ffa	150.0	14.0	63.0	#f7b79b	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	-2.3e-05	0.0	-1443923658337.1135	#4055c8	#b1cbfc	#b40426	#b40426
54	54	54	54	54	54	54	54	54	Acinetobacter lwoffii	54	Acinetobacter junii	0.971375920031	13	8	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	6.0	#7effb5	#425ffa	154.0	14.0	63.0	#f7b99e	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	-0.000156	0.0	-1443923658337.1135	#4055c8	#afcafc	#b40426	#b40426
55	55	55	55	55	55	55	55	55	Acinetobacter junii	55	Acinetobacter lwoffii	0.971375920031	7	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	6.0	#7effb5	#425ffa	146.0	14.0	63.0	#f7b497	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	2.4e-05	0.0	-1443923658337.1135	#4055c8	#b1cbfc	#b40426	#b40426
56	56	56	56	56	56	56	56	56	Acinetobacter sp. MDS7A	56	[Clostridium] leptum	0.990637654165	3	17	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	6.0	#7effb5	#425ffa	145.0	14.0	63.0	#f7b396	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	0.0016809999999999998	0.0	-1443923658337.1135	#4055c8	#b1cbfc	#b40426	#b40426
57	57	57	57	57	57	57	57	57	[Clostridium] leptum	57	Acinetobacter sp. MDS7A	0.990637654165	17	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	6.0	#7effb5	#425ffa	146.0	14.0	63.0	#f7b497	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	2.4e-05	0.0	-1443923658337.1135	#4055c8	#b1cbfc	#b40426	#b40426
58	58	58	58	58	58	58	58	58	Acinetobacter sp. MDS7A	58	Acinetobacter baumannii	0.905701437191	3	1	Anterior_nares	Attached	Intertype	#8000ff	#4e4dfc	#cccccc	2.0	6.0	#7effb5	#425ffa	145.0	14.0	63.0	#f7b396	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	0.0016809999999999998	0.0	-1443923658337.1135	#4055c8	#b1cbfc	#b40426	#b40426
59	59	59	59	59	59	59	59	59	Acinetobacter baumannii	59	Acinetobacter sp. MDS7A	0.905701437191	13	1	Attached	Anterior_nares	Intertype	#4e4dfc	#8000ff	#cccccc	2.0	6.0	#7effb5	#425ffa	147.0	13.0	57.0	#f7b497	#c0282f	#5673e0	0.0004	#82a6fb	0.002482	-1.6e-05	2.2204460492503127e-15	-296321721317.77826	#4055c8	#b1cbfc	#3b4cc0	#f7b497
60	60	60	60	60	60	60	60	60	Acinetobacter sp. MDS7A	60	Acinetobacter johnsonii	0.998455003335	3	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	6.0	#7effb5	#425ffa	145.0	14.0	63.0	#f7b396	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.002482	0.0016809999999999998	0.0	-1443923658337.1135	#4055c8	#b1cbfc	#b40426	#b40426
